# symbol,price
BNBBULLUSDT,0E-8
LENDUSDT,0E-8
XZCUSDT,0E-8
BNBBEARUSDT,0E-8
STRATUSDT,0E-8
XRPBEARUSDT,0E-8
XRPBULLUSDT,0E-8
EOSBEARUSDT,0E-8
EOSBULLUSDT,0E-8
USDSUSDT,0E-8
ETHBEARUSDT,0E-8
BEARUSDT,0E-8
BULLUSDT,0E-8
MCOUSDT,0E-8
HCUSDT,0E-8
USDSBUSDT,0E-8
ERDUSDT,0E-8
STORMUSDT,0E-8
NPXSUSDT,0E-8
ETHBULLUSDT,0E-8
BCHSVUSDT,0E-8
BKRWUSDT,0E-8
PAXUSDT,0E-8
SXPDOWNUSDT,0E-8
BCCUSDT,0E-8
SXPUPUSDT,0E-8
AAVEUPUSDT,0E-8
AAVEDOWNUSDT,0E-8
BCHABCUSDT,0E-8
DAIUSDT,0E-8
VENUSDT,0E-8
SHIBUSDT,0.00003933
XECUSDT,0.00014965
FILDOWNUSDT,0.00043610
EOSDOWNUSDT,0.00045030
WINUSDT,0.00070680
XRPDOWNUSDT,0.00137710
BTTUSDT,0.00318000
DENTUSDT,0.00502100
ADADOWNUSDT,0.00614800
1INCHDOWNUSDT,0.00704700
VTHOUSDT,0.00857200
BTCDOWNUSDT,0.00983200
MBLUSDT,0.01193600
HOTUSDT,0.01236100
MFTUSDT,0.01423400
TROYUSDT,0.01425400
SUSHIUPUSDT,0.01590000
KEYUSDT,0.01619500
LINKDOWNUSDT,0.01879200
FUNUSDT,0.01982000
COSUSDT,0.02068000
XVGUSDT,0.02394000
NBSUSDT,0.02436000
REEFUSDT,0.02441000
XTZUPUSDT,0.02613000
SCUSDT,0.02644000
SUNUSDT,0.02980000
CKBUSDT,0.03146000
AKROUSDT,0.03150000
STMXUSDT,0.03207000
RSRUSDT,0.03550000
TCTUSDT,0.03783000
IOSTUSDT,0.03819000
DGBUSDT,0.04703000
BTSUSDT,0.04845000
LINAUSDT,0.05334000
MDTUSDT,0.05813000
AMPUSDT,0.05861000
XLMUPUSDT,0.05948000
SLPUSDT,0.05950000
GTOUSDT,0.05950000
JSTUSDT,0.07409000
1INCHUPUSDT,0.07417300
BNBDOWNUSDT,0.07538000
FORUSDT,0.07625000
ZILUSDT,0.08447000
DOCKUSDT,0.09175000
TRXUSDT,0.09475000
MITHUSDT,0.10042000
PERLUSDT,0.10046000
RVNUSDT,0.10946000
PONDUSDT,0.11031000
VITEUSDT,0.11161000
CELRUSDT,0.11305000
VETUSDT,0.11672000
IRISUSDT,0.12467000
YFIUPUSDT,0.12480000
STPTUSDT,0.14864000
DATAUSDT,0.15180000
ARPAUSDT,0.15440000
IOTXUSDT,0.16003000
XEMUSDT,0.16510000
DFUSDT,0.17600000
JASMYUSDT,0.17720000
DNTUSDT,0.17980000
ANKRUSDT,0.19197000
BCHDOWNUSDT,0.19940000
DOGEUSDT,0.20680000
FIOUSDT,0.21600000
QIUSDT,0.21700000
OMUSDT,0.23780000
CTXCUSDT,0.23910000
RIFUSDT,0.24370000
AIONUSDT,0.24370000
TRXUPUSDT,0.25381000
BCHUPUSDT,0.26720000
ONEUSDT,0.26752000
CFXUSDT,0.28810000
BZRXUSDT,0.29190000
TFUELUSDT,0.31070000
RAMPUSDT,0.31320000
XLMUSDT,0.32160000
DUSKUSDT,0.32220000
ROSEUSDT,0.32323000
HBARUSDT,0.33740000
ARDRUSDT,0.35020000
IDEXUSDT,0.35868000
SKLUSDT,0.36820000
UTKUSDT,0.36980000
TLMUSDT,0.38130000
BLZUSDT,0.38260000
COTIUSDT,0.39620000
EOSUPUSDT,0.40060000
CHZUSDT,0.45390000
TVKUSDT,0.45820000
TRUUSDT,0.46000000
EPSUSDT,0.46230000
LTOUSDT,0.50290000
OXTUSDT,0.52350000
NULSUSDT,0.53210000
ELFUSDT,0.53570000
FLMUSDT,0.55270000
SYSUSDT,0.57740000
GXSUSDT,0.58360000
NKNUSDT,0.58630000
CVCUSDT,0.61800000
FILUPUSDT,0.63630000
POWRUSDT,0.64920000
GALAUSDT,0.65691000
BEAMUSDT,0.66210000
MDXUSDT,0.68000000
ETHDOWNUSDT,0.69080000
REQUSDT,0.69220000
WAXPUSDT,0.70200000
AUDUSDT,0.70670000
ALPACAUSDT,0.71930000
PHAUSDT,0.72290000
ADXUSDT,0.73260000
FETUSDT,0.78860000
YFIDOWNUSDT,0.85670000
POLYUSDT,0.86190000
VIDTUSDT,0.88450000
KEEPUSDT,0.88500000
WANUSDT,0.90630000
ALPHAUSDT,0.93680000
XRPUSDT,0.95700000
RENUSDT,0.96950000
FRONTUSDT,0.96960000
NUUSDT,0.98390000
TRIBEUSDT,0.99090000
BUSDUSDT,0.99930000
USDCUSDT,0.99940000
USDPUSDT,0.99940000
TUSDUSDT,0.99960000
SUSDUSDT,1.00000000
CHRUSDT,1.00220000
WTCUSDT,1.01960000
CTSIUSDT,1.02880000
HARDUSDT,1.03260000
OGNUSDT,1.04660000
GRTUSDT,1.05190000
ONTUSDT,1.06990000
TWTUSDT,1.07140000
LTCDOWNUSDT,1.07710000
KMDUSDT,1.08120000
ONGUSDT,1.11740000
EURUSDT,1.12600000
DREPUSDT,1.14530000
CLVUSDT,1.16700000
OCEANUSDT,1.17110000
ZRXUSDT,1.18680000
WRXUSDT,1.18900000
BETAUSDT,1.20760000
LINKUPUSDT,1.26100000
ATAUSDT,1.31270000
GBPUSDT,1.31500000
PNTUSDT,1.34890000
DODOUSDT,1.35800000
KLAYUSDT,1.37900000
PUNDIXUSDT,1.38300000
IOTAUSDT,1.39060000
CVPUSDT,1.47300000
ADAUSDT,1.56800000
BATUSDT,1.60530000
TKOUSDT,1.63400000
RAREUSDT,1.66000000
MATICUSDT,1.67200000
ALGOUSDT,1.69960000
CTKUSDT,1.70800000
SUPERUSDT,1.71360000
FISUSDT,1.73050000
UNIUPUSDT,1.75900000
BAKEUSDT,1.76400000
ICXUSDT,1.79800000
STXUSDT,1.89200000
DIAUSDT,2.00000000
STRAXUSDT,2.04100000
KNCUSDT,2.11100000
FTMUSDT,2.12510000
SFPUSDT,2.16370000
HIVEUSDT,2.22120000
BELUSDT,2.27300000
SXPUSDT,2.30800000
PLAUSDT,2.35100000
AGLDUSDT,2.35800000
AUDIOUSDT,2.47300000
AVAUSDT,2.55800000
MIRUSDT,2.68700000
GHSTUSDT,2.85600000
LRCUSDT,2.91910000
C98USDT,3.00400000
UNIDOWNUSDT,3.02600000
MTLUSDT,3.03300000
STORJUSDT,3.03560000
CHESSUSDT,3.10100000
XRPUPUSDT,3.11850000
DARUSDT,3.15700000
TOMOUSDT,3.17300000
XTZDOWNUSDT,3.54300000
BURGERUSDT,3.60900000
1INCHUSDT,3.73700000
ENJUSDT,3.74400000
LTCUPUSDT,3.81200000
POLSUSDT,3.81900000
COCOSUSDT,3.83890000
LSKUSDT,3.84100000
VGXUSDT,3.89800000
EOSUSDT,3.92600000
BNTUSDT,3.93500000
XLMDOWNUSDT,4.02200000
RLCUSDT,4.30600000
PORTOUSDT,4.39510000
XTZUSDT,4.70500000
MANAUSDT,4.71990000
CELOUSDT,4.88000000
MINAUSDT,4.93600000
CRVUSDT,4.94800000
NANOUSDT,4.96200000
ASRUSDT,5.02600000
KAVAUSDT,5.04000000
SRMUSDT,5.21900000
OGUSDT,5.41100000
LAZIOUSDT,5.70010000
LITUSDT,6.25800000
MBOXUSDT,6.27000000
ACMUSDT,6.48600000
SANDUSDT,6.52110000
THETAUSDT,6.68800000
RNDRUSDT,7.14700000
YGGUSDT,7.16600000
ANTUSDT,7.22900000
SUSHIUSDT,7.27100000
DOTUPUSDT,7.34700000
FIROUSDT,7.40700000
ORNUSDT,7.58000000
FIDAUSDT,7.72000000
TRXDOWNUSDT,7.75300000
SNXUSDT,7.76400000
OMGUSDT,8.09900000
NEARUSDT,8.38300000
BANDUSDT,9.04400000
ATMUSDT,9.09000000
DEGOUSDT,9.84000000
RAYUSDT,9.86000000
JUVUSDT,9.97000000
UNFIUSDT,10.59700000
BARUSDT,11.37000000
CITYUSDT,11.51000000
RUNEUSDT,11.76400000
FLOWUSDT,12.03000000
PERPUSDT,12.23000000
INJUSDT,12.85700000
DYDXUSDT,13.09400000
CAKEUSDT,13.45000000
UMAUSDT,13.47700000
ERNUSDT,14.15400000
QTUMUSDT,14.65800000
FORTHUSDT,14.66000000
DEXEUSDT,14.95000000
DOTDOWNUSDT,15.22100000
RADUSDT,15.29000000
PSGUSDT,17.77000000
MASKUSDT,19.10700000
WINGUSDT,19.56000000
WAVESUSDT,19.69000000
ALICEUSDT,19.71000000
UNIUSDT,19.74000000
BALUSDT,20.65000000
REPUSDT,21.70000000
XVSUSDT,21.86000000
GTCUSDT,23.20100000
LINKUSDT,24.33000000
RGTUSDT,24.81000000
BADGERUSDT,25.59000000
BONDUSDT,26.03000000
ATOMUSDT,27.66000000
AUCTIONUSDT,31.74000000
BTCSTUSDT,32.13000000
DOTUSDT,35.50000000
PYRUSDT,38.10000000
NEOUSDT,38.13000000
NMRUSDT,39.91000000
HNTUSDT,40.69000000
LUNAUSDT,43.91000000
ICPUSDT,43.93000000
ETCUSDT,47.07000000
ADAUPUSDT,47.23100000
TORNUSDT,47.53000000
FTTUSDT,48.53000000
SUSHIDOWNUSDT,53.54300000
BTGUSDT,54.61000000
TRBUSDT,57.00000000
FILUSDT,58.57000000
ARUSDT,61.10000000
LPTUSDT,62.02000000
WNXMUSDT,72.86000000
ENSUSDT,79.20000000
ETHUPUSDT,95.78000000
DCRUSDT,99.80000000
BTCUPUSDT,102.46400000
MLNUSDT,104.10000000
AVAXUSDT,108.45000000
ZENUSDT,109.66000000
AXSUSDT,128.25000000
FARMUSDT,129.70000000
BNXUSDT,154.80000000
DASHUSDT,185.10000000
LTCUSDT,196.30000000
SOLUSDT,197.20000000
QNTUSDT,214.70000000
XMRUSDT,230.70000000
AAVEUSDT,238.30000000
ZECUSDT,253.20000000
COMPUSDT,272.00000000
QUICKUSDT,324.10000000
MOVRUSDT,332.60000000
KSMUSDT,335.80000000
GNOUSDT,406.30000000
EGLDUSDT,429.60000000
BCHUSDT,563.30000000
BNBUSDT,607.80000000
BNBUPUSDT,784.16000000
AUTOUSDT,934.70000000
KP3RUSDT,1075.21000000
ILVUSDT,1544.40000000
PAXGUSDT,1792.00000000
MKRUSDT,3130.00000000
YFIIUSDT,3491.00000000
ETHUSDT,4121.17000000
YFIUSDT,29448.49000000
BTCUSDT,54777.27000000
